Date,Open,Close
1/2/2000,$239,$235
1/9/2000,$248,$239
1/16/2000,$253,$248
1/23/2000,$252,$253
1/30/2000,$248,$252
2/6/2000,$247,$248
2/13/2000,$249,$247
2/20/2000,$248,$249
2/27/2000,$249,$248
3/5/2000,$250,$249
3/12/2000,$249,$250
3/19/2000,$252,$249
3/26/2000,$257,$252
4/2/2000,$260,$257
4/9/2000,$263,$260
4/16/2000,$264,$263
4/23/2000,$262,$264
4/30/2000,$262,$262
5/7/2000,$264,$262
5/14/2000,$262,$264
5/21/2000,$261,$262
5/28/2000,$257,$261
6/4/2000,$255,$257
6/11/2000,$259,$255
6/18/2000,$258,$259
6/25/2000,$256,$258
7/2/2000,$258,$256
7/9/2000,$262,$258
7/16/2000,$266,$262
7/23/2000,$269,$266
7/30/2000,$268,$269
8/6/2000,$269,$268
8/13/2000,$273,$269
8/20/2000,$277,$273
8/27/2000,$277,$277
9/3/2000,$275,$277
9/10/2000,$278,$275
9/17/2000,$276,$278
9/24/2000,$270,$276
10/1/2000,$265,$270
10/8/2000,$264,$265
10/15/2000,$262,$264
10/22/2000,$261,$262
10/29/2000,$268,$261
11/5/2000,$278,$268
11/12/2000,$282,$278
11/19/2000,$287,$282
11/26/2000,$300,$287
12/3/2000,$302,$300
12/10/2000,$298,$302
12/17/2000,$298,$298
12/24/2000,$298,$298
12/31/2000,$301,$298
1/7/2001,$295,$301
1/14/2001,$296,$295
1/21/2001,$293,$296
1/28/2001,$285,$293
2/4/2001,$287,$285
2/11/2001,$297,$287
2/18/2001,$302,$297
2/25/2001,$305,$302
3/4/2001,$309,$305
3/11/2001,$310,$309
3/18/2001,$311,$310
3/25/2001,$315,$311
4/1/2001,$322,$315
4/8/2001,$330,$322
4/15/2001,$332,$330
4/22/2001,$332,$332
4/29/2001,$328,$332
5/6/2001,$326,$328
5/13/2001,$323,$326
5/20/2001,$322,$323
5/27/2001,$323,$322
6/3/2001,$322,$323
6/10/2001,$319,$322
6/17/2001,$314,$319
6/24/2001,$324,$314
7/1/2001,$333,$324
7/8/2001,$330,$333
